x	y
800	4.139
800.001	4.13382
800.002	4.12864
800.003	4.12345
800.004	4.11825
800.005	4.11305
800.006	4.10784
800.007	4.10263
800.008	4.09742
800.009	4.0922
800.01	4.08697
800.011	4.08174
800.012	4.07651
800.013	4.07127
800.014	4.06602
800.015	4.06077
800.016	4.05552
800.017	4.05026
800.018	4.04499
800.019	4.03972
800.02	4.03444
800.021	4.02916
800.022	4.02387
800.023	4.01858
800.024	4.01328
800.025	4.00798
800.026	4.00267
800.027	3.99736
800.028	3.99204
800.029	3.98672
800.03	3.98139
800.031	3.97606
800.032	3.97072
800.033	3.96538
800.034	3.96003
800.035	3.95468
800.036	3.94932
800.037	3.94395
800.038	3.93859
800.039	3.93321
800.04	3.92783
800.041	3.92245
800.042	3.91706
800.043	3.91167
800.044	3.90627
800.045	3.90087
800.046	3.89547
800.047	3.89006
800.048	3.88464
800.049	3.87922
800.05	3.8738
800.051	3.86837
800.052	3.86293
800.053	3.85749
800.054	3.85205
800.055	3.8466
800.056	3.84115
800.057	3.83569
800.058	3.83022
800.059	3.82476
800.06	3.81929
800.061	3.81381
800.062	3.80833
800.063	3.80284
800.064	3.79735
800.065	3.79186
800.066	3.78636
800.067	3.78085
800.068	3.77534
800.069	3.76983
800.07	3.76431
800.071	3.75879
800.072	3.75326
800.073	3.74772
800.074	3.74219
800.075	3.73665
800.076	3.7311
800.077	3.72555
800.078	3.71999
800.079	3.71443
800.08	3.70887
800.081	3.7033
800.082	3.69773
800.083	3.69215
800.084	3.68657
800.085	3.68098
800.086	3.67539
800.087	3.66979
800.088	3.66419
800.089	3.65859
800.09	3.65298
800.091	3.64736
800.092	3.64174
800.093	3.63611
800.094	3.63049
800.095	3.62485
800.096	3.61921
800.097	3.61357
800.098	3.60792
800.099	3.60227
800.1	3.59662
800.101	3.59096
800.102	3.58529
800.103	3.57963
800.104	3.57395
800.105	3.56828
800.106	3.56259
800.107	3.55691
800.108	3.55122
800.109	3.54552
800.11	3.53982
800.111	3.53412
800.112	3.52841
800.113	3.5227
800.114	3.51698
800.115	3.51126
800.116	3.50554
800.117	3.49981
800.118	3.49408
800.119	3.48834
800.12	3.4826
800.121	3.47685
800.122	3.4711
800.123	3.46535
800.124	3.45959
800.125	3.45383
800.126	3.44806
800.127	3.44228
800.128	3.43651
800.129	3.43072
800.13	3.42494
800.131	3.41915
800.132	3.41336
800.133	3.40756
800.134	3.40176
800.135	3.39595
800.136	3.39014
800.137	3.38433
800.138	3.37851
800.139	3.37269
800.14	3.36686
800.141	3.36103
800.142	3.35519
800.143	3.34935
800.144	3.3435
800.145	3.33765
800.146	3.3318
800.147	3.32594
800.148	3.32008
800.149	3.31421
800.15	3.30834
